"Prediction Interval","rho","n_datapoints","forecast_point","bmiz_within_ci","sd"
"+/- 0.5 BMIz","0.9","8","Most Recent","99.55%","0.2"
"+/- 0.5 BMIz","0.9","10","Most Recent","99.52%","0.2"
"+/- 0.5 BMIz","0.9","10","Mean","99.42%","0.2"
"+/- 0.5 BMIz","0.9","6","Most Recent","99.35%","0.2"
"+/- 0.5 BMIz","0.9","6","Mean","99.25%","0.2"
"+/- 0.5 BMIz","0.9","4","Most Recent","99.16%","0.2"
"+/- 0.5 BMIz","0.9","8","Mean","99.15%","0.2"
"+/- 0.5 BMIz","0.9","4","Mean","99.11%","0.2"
"+/- 0.5 BMIz","0.9","2","Mean","99.03%","0.2"
"+/- 0.5 BMIz","0.9","4","Mean + Most Recent","98.90%","0.2"
"+/- 0.5 BMIz","0.9","2","Mean + Most Recent","98.78%","0.2"
"+/- 0.5 BMIz","0.9","2","Most Recent","98.66%","0.2"
"+/- 0.5 BMIz","0.9","8","Mean + Most Recent","98.62%","0.2"
"+/- 0.5 BMIz","0.9","10","Mean + Most Recent","98.54%","0.2"
"+/- 0.5 BMIz","0.9","6","Mean + Most Recent","98.44%","0.2"
"+/- 0.5 BMIz","0.9","2","Max","98.30%","0.2"
"+/- 0.5 BMIz","0.7","8","Mean","97.52%","0.2"
"+/- 0.5 BMIz","0.9","4","Max","97.11%","0.2"
"+/- 0.5 BMIz","0.7","4","Mean","97.02%","0.2"
"+/- 0.5 BMIz","0.7","6","Mean","96.97%","0.2"
"+/- 0.5 BMIz","0.7","10","Mean","96.72%","0.2"
"+/- 0.5 BMIz","0.7","6","Mean + Most Recent","96.39%","0.2"
"+/- 0.5 BMIz","0.7","8","Most Recent","96.37%","0.2"
"+/- 0.5 BMIz","0.9","10","Max","96.26%","0.2"
"+/- 0.5 BMIz","0.7","8","Mean + Most Recent","96.04%","0.2"
"+/- 0.5 BMIz","0.9","8","Max","96.01%","0.2"
"+/- 0.5 BMIz","0.7","10","Most Recent","95.99%","0.2"
"+/- 0.5 BMIz","0.9","6","Max","95.99%","0.2"
"+/- 0.5 BMIz","0.7","6","Most Recent","95.79%","0.2"
"+/- 0.5 BMIz","0.7","2","Mean","95.52%","0.2"
"+/- 0.5 BMIz","0.7","2","Mean + Most Recent","95.39%","0.2"
"+/- 0.5 BMIz","0.7","4","Mean + Most Recent","95.29%","0.2"
"+/- 0.5 BMIz","0.7","10","Mean + Most Recent","95.15%","0.2"
"+/- 0.5 BMIz","0.7","4","Most Recent","94.24%","0.2"
"+/- 0.5 BMIz","0.7","2","Most Recent","93.90%","0.2"
"+/- 0.5 BMIz","0.7","2","Max","93.15%","0.2"
"+/- 0.5 BMIz","0.7","4","Max","91.10%","0.2"
"+/- 0.5 BMIz","0.7","6","Max","90.87%","0.2"
"+/- 0.5 BMIz","0.7","8","Max","89.81%","0.2"
"99","0.7","10","Mean + Most Recent","87.74%","Combined"
"+/- 0.5 BMIz","0.7","10","Max","87.70%","0.2"
"99","0.7","8","Mean + Most Recent","87.22%","Combined"
"+/- 0.5 BMIz","0.9","8","Most Recent","87.02%","0.4"
"+/- 0.5 BMIz","0.9","10","Most Recent","86.95%","0.4"
"99","0.7","10","Mean","86.75%","Combined"
"99","0.7","8","Mean","86.32%","Combined"
"99","0.7","6","Mean + Most Recent","86.00%","Combined"
"99","0.7","10","Most Recent","85.65%","Combined"
"99","0.7","6","Mean","85.58%","Combined"
"+/- 0.5 BMIz","0.9","4","Most Recent","85.49%","0.4"
"+/- 0.5 BMIz","0.9","6","Most Recent","85.49%","0.4"
"99","0.7","8","Most Recent","85.06%","Combined"
"99","0.9","10","Most Recent","84.86%","Combined"
"99","0.9","10","Mean + Most Recent","84.34%","Combined"
"99","0.7","6","Most Recent","83.79%","Combined"
"99","0.9","8","Mean + Most Recent","83.12%","Combined"
"99","0.9","8","Most Recent","82.84%","Combined"
"+/- 0.5 BMIz","0.9","4","Mean","82.74%","0.4"
"+/- 0.5 BMIz","0.9","8","Mean","82.42%","0.4"
"99","0.9","6","Mean + Most Recent","81.47%","Combined"
"+/- 0.5 BMIz","0.9","10","Mean","81.17%","0.4"
"+/- 0.5 BMIz","0.9","4","Mean + Most Recent","81.15%","0.4"
"99","0.9","6","Most Recent","81.11%","Combined"
"+/- 0.5 BMIz","0.9","2","Mean","80.89%","0.4"
"+/- 0.5 BMIz","0.9","6","Mean","80.86%","0.4"
"+/- 0.5 BMIz","0.9","2","Most Recent","80.76%","0.4"
"99","0.9","10","Mean","80.69%","Combined"
"+/- 0.5 BMIz","0.9","2","Mean + Most Recent","80.64%","0.4"
"99","0.7","4","Mean + Most Recent","80.24%","Combined"
"99","0.9","8","Mean","80.09%","Combined"
"99","0.7","4","Mean","79.93%","Combined"
"95","0.7","10","Mean + Most Recent","78.96%","Combined"
"99","0.7","4","Most Recent","78.69%","Combined"
"99","0.9","6","Mean","78.43%","Combined"
"+/- 0.5 BMIz","0.9","8","Mean + Most Recent","78.36%","0.4"
"95","0.7","8","Mean + Most Recent","78.32%","Combined"
"99","0.9","4","Mean + Most Recent","78.21%","Combined"
"99","0.7","6","Max","78.03%","Combined"
"99","0.9","4","Most Recent","77.79%","Combined"
"+/- 0.5 BMIz","0.9","6","Mean + Most Recent","77.44%","0.4"
"95","0.7","10","Mean","77.31%","Combined"
"95","0.7","6","Mean + Most Recent","77.05%","Combined"
"+/- 0.5 BMIz","0.9","10","Mean + Most Recent","76.87%","0.4"
"95","0.7","8","Mean","76.83%","Combined"
"+/- 0.5 BMIz","0.9","2","Max","76.57%","0.4"
"95","0.7","6","Mean","76.32%","Combined"
